temperature,humidity,wind_speed,UVA,AOD,sex,age,height,weight,BMI,comfort_temperature,comfort_humidity,comfort_wind,comfort_UVA,comfort_AOD,age_group,BMI_group
24.3,72.4,7.3,10.3,0.88,male,64,166.4,64.3,23.2,0.9349999999999999,0.5519999999999998,0.635,0.1416666666666666,0.01999999999999999,senior,normal
20.9,85.7,1.4,1.8,0.46,female,29,135.3,78.2,42.7,0.8949999999999999,0.08599999999999991,0.93,0.75,0.54,young,obese
29.2,23.8,1.9,3.3,0.31,male,79,174.1,58.7,19.4,0.49000000000000005,0.476,0.905,0.7250000000000001,0.59,elderly,normal
37.0,20.9,3.6,1.1,0.61,male,25,156.7,51.3,20.9,0.3,0.4179999999999999,0.8200000000000001,0.9083333333333333,0.39,young,normal
14.9,66.3,12.9,2.5,0.19,male,38,164.5,41.7,15.4,0.6950000000000001,0.674,0.155,0.7916666666666666,0.81,middle,underweight
21.4,40.3,13.9,2.9,0.3,female,42,159.7,61.1,24.0,0.9199999999999999,0.8059999999999999,0.20499999999999993,0.6583333333333333,0.7,middle,normal
14.2,37.7,12.4,11.0,0.57,male,29,166.3,99.3,35.9,0.76,0.754,0.38,0.08333333333333337,0.43000000000000005,young,obese
28.7,43.2,5.0,0.9,0.28,male,32,174.4,74.1,24.4,0.7150000000000001,0.8640000000000001,0.75,0.925,0.72,middle,normal
31.9,38.9,4.1,5.1,0.7,male,76,170.1,84.1,29.1,0.25500000000000006,0.778,0.795,0.575,0.20000000000000004,elderly,overweight
38.0,55.8,8.2,6.4,0.52,female,43,177.1,56.5,18.0,0.35,0.8840000000000001,0.5900000000000001,0.3666666666666667,0.48,middle,underweight
18.4,50.8,10.8,10.8,0.78,male,43,182.7,46.4,13.9,0.8699999999999999,0.9840000000000001,0.36,0.09999999999999998,0.21999999999999997,middle,underweight
38.5,55.9,14.9,12.0,0.95,male,64,166.3,51.7,18.7,0.225,0.882,0.155,0.0,0.0,senior,normal
11.9,67.1,2.0,9.0,0.16,male,49,165.2,68.5,25.1,0.545,0.6580000000000001,0.9,0.25,0.84,middle,overweight
28.1,47.1,0.7,11.6,0.37,male,27,179.6,40.1,12.4,0.7449999999999999,0.9420000000000001,0.965,0.033333333333333326,0.63,young,underweight
11.7,37.6,10.4,9.4,0.35,female,33,180.4,54.9,16.9,0.43499999999999994,0.752,0.38,0.11666666666666667,0.65,middle,underweight
36.8,31.6,12.5,11.6,0.19,male,34,177.4,61.2,19.4,0.31000000000000016,0.632,0.375,0.033333333333333326,0.81,middle,normal
25.9,44.5,12.7,8.5,0.82,female,40,160.5,50.2,19.5,0.8550000000000001,0.89,0.265,0.19166666666666662,0.18000000000000005,middle,normal
30.1,71.9,10.2,1.0,0.77,female,43,174.2,38.1,12.6,0.7449999999999999,0.5619999999999998,0.39,0.8166666666666667,0.22999999999999998,middle,underweight
34.9,73.0,14.3,4.8,0.51,female,24,171.1,74.3,25.4,0.5050000000000001,0.54,0.2849999999999999,0.5000000000000001,0.49,young,overweight
14.5,66.7,7.7,7.8,0.56,male,31,180.5,70.7,21.7,0.675,0.6659999999999999,0.615,0.35,0.43999999999999995,middle,normal
11.2,36.4,13.7,4.2,0.11,female,24,164.3,81.7,30.3,0.51,0.728,0.21500000000000005,0.5499999999999999,0.89,young,obese
36.4,61.2,14.5,3.3,0.58,male,26,153.3,53.3,22.7,0.33000000000000007,0.7759999999999999,0.17500000000000002,0.7250000000000001,0.42000000000000004,young,normal
19.4,59.9,12.7,6.9,0.8,female,65,176.9,81.4,26.0,0.82,0.802,0.365,0.32499999999999996,0.09999999999999995,elderly,overweight
13.9,53.9,4.6,11.2,0.6,female,76,144.4,92.9,44.6,0.645,0.922,0.77,0.0,0.30000000000000004,elderly,obese
24.1,58.5,2.9,0.4,0.3,female,56,162.7,73.9,27.9,0.945,0.83,0.855,0.8666666666666667,0.7,senior,overweight
27.9,54.4,8.2,9.2,0.68,female,35,159.8,60.9,23.8,0.8550000000000001,0.912,0.4900000000000001,0.1333333333333334,0.31999999999999995,middle,normal
10.9,59.6,6.8,8.7,0.39,female,76,159.7,72.2,28.3,0.495,0.8079999999999999,0.66,0.17500000000000002,0.51,elderly,overweight
18.2,70.1,13.2,11.6,0.57,female,34,162.5,60.1,22.8,0.76,0.5980000000000001,0.24000000000000007,0.0,0.43000000000000005,middle,normal
11.0,27.7,1.5,11.2,0.51,female,31,182.2,57.6,17.4,0.4,0.554,0.925,0.0,0.49,middle,underweight
